OBJECTID,GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
1,14,Albany Park,57655,51542,48396,17161,2.74273061,49280,2835,9409,13150,11446,7739,2833,1389,479,34.26150833,16577,22673,2520,6179,1331,47974,39539,28326,26431,1869,11213,25804,2164,23640,11714,2306,7611,1805,204,879625,3405,7981,4147,1249,33532,6455,7887,3849,1871,9210,4260,2651,3552,2777,2512,2800,2490,69397.59036,32298.08478,16782,6892,9890,1448,18230,3606,163,3478,3992,3811,1241,1939,0,5.424107143,878,1722,2818,12812,1925.57212,3738,7721,4744,1486,541,486,2727,2403,1175,312078.094,9739,298,3054,4222,2131,34,1173.230594,15377,1440,1405,14389,13669,2393,18650,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2496,2168,1938,1711,1546,5389,Health Care,Retail Trade,Manufacturing,Administration,Information,1007,805,787,557,490,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7348,2987,1560,860,550,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,Portage Park,2478,550,165,161,124,,,,11783.64945,,,,,,,,,,0,0,1,0,0,1,1.696209209,1229.160488,303.7184257,0.247094199,295.0363269,0.240030761,34.74640572,0.028268404,75.0401636,0.061049932,53.80426335,0.04377318,19.75709275,0.016073648,413.6319022,0.336515781,0,0,28.10292473,0.022863511,5.322983086,0.004330584,3969,4598,3402,4813,10557,1895,6225,1646,0,189,1457,4298,228,826,3244,2734,526,1437,771,7790,5416,1759,615,30753,18527,46445,27909,14836,18536,18942,1435,193,1871,833,654,1343,2158,480,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.45750328,0.819019638,0,0,0.052479098,1,1,0.538133623
2,57,Archer Heights,12644,13393,14196,4163,3.403314917,13533,907,3088,3135,2576,2020,1020,420,367,33.37723214,1991,10800,104,612,26,13523,10476,6502,5951,551,3974,5798,100,5698,3393,813,1145,302,45,191250,828,1417,1254,633,8625,2529,3602,1227,360,683,224,1005,1103,662,323,709,330,48793.10345,21399.10522,4132,2659,1473,406,4538,2229,77,1101,946,68,100,17,0,5.456822676,87,635,2593,1223,1952.784636,403,1753,1646,336,400,527,1983,143,0,205867.3469,1422,33,831,507,51,0,920.3125,3399,322,733,3262,3109,870,4706,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,Health Care,601,566,496,493,463,9262,Manufacturing,Transportation,Retail Trade,Wholesale Trade,Other Service,3401,2215,802,765,423,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1838,687,354,284,221,Outside of Chicago,West Lawn,Gage Park,South Lawndale,Archer Heights,4926,268,255,250,221,,,,13482.20221,,,,,,,,,,0,0,1,0.156894858,0.03771466,0.805390482,1.504478234,1283.804076,168.2185046,0.13103129,69.15138007,0.053864434,9.781739836,0.00761934,62.10400673,0.048374988,37.96304082,0.029570743,335.6242378,0.261429485,556.7244207,0.433652168,0,0,15.00514554,0.011688034,29.23159946,0.022769518,1154,943,538,1497,2816,273,1316,429,6,14,409,1632,190,523,919,643,242,253,148,1362,1040,296,26,8347,5186,12626,10596,4747,2030,9140,899,472,0,31,0,0,54,0,6752,5485,74,48,285,,,,,,,,,,,,,,,,,,,,,,,,,0.994886727,0.439368999,0.146898551,0.791876859,0,0,0.259475735,1,1,0.407036909
3,34,Armour Square,12032,13391,13890,5648,2.446352691,13438.84426,696.557377,1983.934426,2409.639344,2339.245902,2676.745902,1624.590164,985.6639344,722.4672131,46.4571369,1878.122951,751.0737705,1197.540984,9496.106557,116,13423.93153,11294.45485,6308.502832,5863.828057,444.6747751,4985.952016,5684.408197,201.4845052,5482.923692,2326.081306,944.2492502,1338.618461,754.8247251,119.14995,156148.2373,2196.363636,2095.522052,933.4410441,241.6885689,10013.56557,3356.057377,2505.991803,906.647541,384.6967213,1683.180328,1176.991803,2227.375178,911.3694722,684.4978602,703.0114123,380.5463623,561.0442225,37122.66529,24901.0311,5467.844508,2114.335544,3352.535809,393.5135521,5860.348806,588.127321,552.2387268,934.9588859,1055.387268,700.198939,238,1784.437666,7,4.736463122,654.3474801,2587.132626,595.969496,2022.899204,1973.796436,1641.537135,1872.535809,1905.5,255.7758621,185,149.21398,871.8402282,768.4079886,322.5035663,309565.1257,3195.621969,1301,827.1455064,568.7489301,443.235378,55.49215407,698.4822407,4360.266762,831.9629101,1107.577746,4175.924394,4075.924394,1291.920114,5230,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1125,765,429,401,382,5052,Accommodation and Food Service,Administration,Health Care,Retail Trade,Arts and Entertainment,1830,1011,577,388,309,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1774,894,655,360,265,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1126,732,655,284,227,,,,7679.484439,,,,,,,,,,0,0,1,0,0,1,2.521481401,637.4241477,56.31190604,0.088342913,79.16120262,0.124189212,9.78837416,0.01535614,90.11640025,0.141375881,11.24928064,0.01764803,15.6689068,0.024581602,344.4124869,0.540319171,0,0,15.01918629,0.023562311,15.69640395,0.02462474,2022.087019,1562.606277,844.0756063,1039.075606,3128.489301,337.4065621,2339.355207,1594.120612,156,412,1026.120612,1384.29523,210.4050405,326,847.890189,684.3906391,372.7965797,188.1350135,123.4590459,1555.317732,1122.9964,196.4977498,235.8235824,6284.471843,7154.045651,12742.16328,8608.443852,6180.490836,4133.719427,317.9690103,82.31489503,7592.215262,124.4648451,24,114,212.104965,137.374875,4,2062,448,2046,7305,171,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.323963865,0.815346511,0.200206398,0,0.094773274,1,1,0.569835386
4,70,Ashburn,39584,41081,41098,12909,3.140367186,42902,2641,9805,8335,8329,8558,3337,1221,676,36.46160558,4320,18331,19324,356,571,42381,33015,21425,19181,2244,11590,18687,801,17886,12929,1955,2601,90,311,710420,869,4116,4880,3074,27466,4876,8437,5983,2610,3555,2005,1986,2083,2721,2174,2457,1518,71951.49017,25905.19106,12939,10964,1975,540,13479,11995,203,357,336,323,146,119,0,6.509980989,235,1704,11037,503,1957.38771,620,2142,7275,2483,959,2609,7707,482,145,184394.2901,1908,162,520,596,574,56,1253.04878,12022,998,917,11432,11188,1507,17024,Health Care,Education,Retail Trade,Accommodation and Food Service,Public Administration,2472,1977,1558,1430,1428,4156,Utilities,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,774,744,721,408,350,Outside of Chicago,The Loop,Near West Side,Near North Side,Ashburn,7307,3754,916,876,224,Outside of Chicago,Ashburn,Chicago Lawn,Auburn Gresham,Gage Park,2352,224,108,107,61,,,,17837.27574,,,,,,,,,,0,0,1,0,0.16392177,0.83607823,2.025248363,3109.741438,1267.647868,0.407637707,41.01473766,0.013189115,9.861780469,0.003171254,130.6066948,0.041999214,164.5919488,0.052927857,103.6331544,0.033325328,1073.050424,0.345060979,0,0,259.8666174,0.083565345,59.46821259,0.019123202,2701,3307,2319,4612,9860,1239,3079,1411,36,45,1330,2474,428,513,1533,2721,769,957,995,6139,4256,1726,157,35478,7424,40261,15722,4786,24539,13944,192,82,138,545,0,106,512,203,14546,6674,17045,408,911,,,,,,,,,,,,,,,,,,,,,,,,,0.8720485,0.587266553,0.297458676,0.776385695,0.144636625,0,0.160631162,1,1,0.29148606
5,71,Auburn Gresham,55928,48743,44878,18071,2.476619999,46698,2959,9561,8674,8373,8805,4209,3124,993,38.58927382,488,1397,44152,124,537,46610,36183,20150,16828,3322,16033,16320,1111,15209,9442,1273,4155,94,245,629220,5189,7355,3517,1192,31170,4666,9758,9086,2711,3282,1667,6286,4159,2812,1405,1837,754,37484.19389,20664.60043,17253,7821,9432,3364,20617,9312,426,3703,2756,2138,843,1400,39,5.972749541,1315,2665,8773,7864,1948.110484,3541,6100,7096,2515,1365,4042,3570,186,7,146886.1607,9100,1428,4270,2262,1140,0,905.0454921,14507,3126,2746,12833,12226,4420,15048,Health Care,Administration,Education,Accommodation and Food Service,Retail Trade,3017,1686,1457,1380,1346,2089,Retail Trade,Accommodation and Food Service,Health Care,Education,Finance,580,355,200,195,140,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,5199,3185,1326,990,243,Outside of Chicago,Auburn Gresham,Roseland,Greater Grand Crossing,West Englewood,901,191,75,67,51,,,,10588.32037,,,,,,,,,,0,0,1,0,0.053931462,0.946068538,1.634956842,2411.968642,798.2360833,0.330947952,318.7035963,0.13213422,22.38282761,0.0092799,94.47130025,0.039167715,109.2757352,0.04530562,56.1041499,0.023260729,834.3288064,0.345911963,0,0,59.3439954,0.024603966,119.1221472,0.049387934,6254,4507,2797,3695,10536,2798,6717,4177,141,547,3489,5333,805,1372,3156,2785,1295,906,584,3974,2924,951,99,45362,1336,43739,1445,577,42294,1104,23,46,12,45,0,0,154,61,237,347,54862,45,437,,,,,,,,,,,,,,,,,,,,,,,,,0.950207561,0.87847097,0.245749118,0.70810769,0.027726401,0,0.09118119,1,1,0.406433824
6,25,Austin,117527,98514,96557,35864,2.662307607,95073,6448,18471,20020,18532,17146,8406,4283,1767,36.97618685,5024,16210,71951,319,1569,94034,74351,43212,37426,5786,31139,36595,1274,35321,20861,3546,9587,830,497,1314235,10272,12725,7243,3221,63174,11415,22524,14934,4791,5803,3707,12476,8288,4903,2424,3582,1788,35555.36685,21384.81546,33461,13972,19489,4994,38455,9928,661,11956,7122,3462,1348,3790,188,5.747315066,948,4345,13602,19560,1939.150051,7462,13183,11888,3907,2015,4151,7217,2101,418,208765.5017,18802,2371,7551,7383,1430,67,978.327787,27665,5427,5796,25413,23589,8048,34568,Health Care,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,5896,4293,3582,3213,2849,13075,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Administration,2530,2102,1712,1139,1002,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15960,5213,2380,1728,912,Outside of Chicago,Austin,Belmont Cragin,Logan Square,Humboldt Park,6640,912,264,222,214,,,,10201.78239,,,,,,,,,,0,0,1,0,0.011620038,0.988379962,0.689628562,4574.247077,955.957202,0.208986788,788.3831264,0.172352545,61.86354401,0.013524312,202.3407844,0.044234774,208.948011,0.045679214,471.5277618,0.103083142,1470.94843,0.321571705,0,0,199.7012978,0.043657742,214.5769195,0.046909779,11555,8760,5164,7982,20421,4764,13040,9211,217,807,8187,10152,956,1822,7374,4818,1564,1628,1626,7689,5938,1460,291,88325,6748,88625,13441,4971,75184,11755,386,0,29,172,67,91,496,445,5662,4841,105369,642,1013,,,,,,,,,,,,,,,,,,,,,,,,,0.997275537,0.925599082,0.226374774,0.71973859,0,0,0.090170723,1,1,0.416368356
7,45,Avalon Park,11147,10185,9458,4145,2.281544029,9596.682362,597.4142059,1471.209098,1526.216281,1669.770152,1967.844374,831.1548284,1060.131684,472.9417398,45.12512307,80,0,9090.682362,129,297,9577.367816,8105.672115,4665.305128,3931.394551,733.9105769,3440.366987,3789.977564,207.2807692,3582.696795,2367.619872,372.6432692,773.5589744,0,68.87467949,161575.6571,871.5539516,2045.533742,811.7127391,321.4770841,6938.780527,664.71668,1922.42937,1755.181963,368.4030327,1240.138867,987.9106145,813.2528736,1081.904215,817.5095785,449.7318008,492.4367816,394.8544061,54418.51813,29200.1494,4049.689655,2705.652921,1346.027491,686.3218391,4738.381443,2889.044674,398.2439863,248,586.3505155,106,80.38487973,430.3573883,0,6.354891132,426.3505155,460.0824742,2370.831615,1481.116838,1951.186618,825.0549828,1556.47079,1258.941581,881.1477663,216.766323,736.6590038,1852.409962,105.5095785,10,171562.2769,1326.111111,152,696.954023,295.1570881,182,0,931.5121958,3130.823755,459,918.8659004,3014.823755,2834.823755,1034.8659,3400,Health Care,Education,Administration,Public Administration,Accommodation and Food Service,654,428,367,299,279,2766,Health Care,Construction,Accommodation and Food Service,Finance,Retail Trade,1912,264,172,115,112,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,977,931,312,182,100,Outside of Chicago,South Shore,Roseland,Austin,Auburn Gresham,998,123,116,114,107,,,,11996.00199,,,,,,,,,,0,0,1,0,0,1,2.859074253,800.1087579,303.6806875,0.379549261,27.15838532,0.033943367,2.5777557,0.003221757,44.83356904,0.056034344,44.14236953,0.055170462,12.00895343,0.015009151,313.5653547,0.391903415,0,0,31.43772209,0.039291811,20.70396064,0.025876433,1727.877395,1119.409962,548,654.4022989,2145.812261,367.6666667,1903.877395,631.3150487,0,9,622.3150487,1201.716709,247.9895345,170.1338867,783.5932876,805.4850235,266.8163118,315.8451822,222.8235294,1328.287622,969.1497654,287.5781306,71.55972573,9483.158013,111.5477564,8995.544551,540.6025641,86.52596154,8454.941987,93.82019231,0.994551282,139.2371795,0,0,61.66217949,41.77115385,108.6349359,94.48237179,96,85,10816,19,131,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.37402721,0.781848032,0,0,0.128206624,1,1,0.357121643
8,21,Avondale,43083,39262,36257,14578,2.476951571,37360,2078,5967,12134,8646,5167,2251,779,338,33.56555024,13301,20145,806,1670,1438,37270,30862,23140,21987,1153,7722,21809,2203,19606,10378,1827,6038,990,373,692320,2408,6427,3894,1006,26751,4192,6191,3797,1669,6860,4042,2229,2392,2367,1822,2205,2720,73616.00306,35759.78129,13735,5831,7904,1606,15341,2558,430,4385,4704,1972,502,774,16,5.532554424,1469,1389,2603,9880,1928.81832,2391,7178,4376,975,421,309,1659,2335,1459,364935.9886,7798,139,1726,3648,2042,243,1205.620704,12877,861,858,12287,11791,1448,15948,Accommodation and Food Service,Professional,Health Care,Retail Trade,Manufacturing,1840,1779,1743,1465,1233,8699,Manufacturing,Retail Trade,Utilities,Accommodation and Food Service,Construction,1638,1393,985,840,664,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5478,2844,1472,1140,588,Outside of Chicago,Avondale,Belmont Cragin,Logan Square,Irving Park,4050,403,342,326,238,,,,12853.07505,,,,,,,,,,0,0,1,0,0,1,0.836002658,1269.297425,161.8543399,0.127514904,312.402393,0.246122293,34.8732884,0.027474481,103.1929549,0.081299271,31.75516064,0.025017904,126.5534966,0.099703579,477.1936236,0.37595099,0,0,8.819097569,0.006948015,12.65307014,0.009968562,3408,4847,2730,2750,7940,988,5795,1185,0,39,1146,2982,144,571,2267,2356,498,1010,848,6747,4617,1662,468,26989,10371,35282,18916,7104,16366,15874,1322,44,533,131,132,223,623,34,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.469926358,0.847689521,0.017054315,0,0.069558815,1,1,0.507038379
9,19,Belmont Cragin,78144,78743,78116,23450,3.322004264,78788,5115,17888,16101,17525,13636,5220,2628,675,35.22748666,11272,62943,1926,1734,913,78458,60994,40277,38208,2069,20717,37288,1226,36062,24346,4771,5334,999,612,1452060,3256,7959,7429,4079,50523,15968,15450,8907,3089,4757,2352,4639,5208,4210,3395,3232,2039,58138.0978,21611.65496,22723,12107,10616,1804,24527,10160,430,6166,4853,1851,458,575,34,5.733051455,1073,2321,7534,13599,1935.089712,3859,9124,7169,2570,1805,1349,7443,3116,191,256190.0958,10301,332,4091,4655,1194,29,1064.839572,20018,2915,2705,18347,17427,4376,27559,Manufacturing,Health Care,Accommodation and Food Service,Retail Trade,Administration,3781,3445,3214,3159,2616,7717,Retail Trade,Accommodation and Food Service,Manufacturing,Administration,Health Care,2615,981,678,612,587,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,13332,2938,1595,1003,814,Outside of Chicago,Belmont Cragin,Austin,Portage Park,Logan Square,3720,814,248,223,170,,,,13727.45007,,,,,,,,,,0,0,1,0,0,1,0.888154336,2504.577927,710.7003132,0.283760511,386.0368973,0.154132516,48.56702876,0.019391303,239.4101097,0.095589004,148.7027405,0.059372375,111.7826842,0.044631346,775.6569475,0.309695673,0,0,64.77975078,0.025864538,18.94145473,0.007562733,4557,5148,3665,9353,17005,2826,5718,2942,0,112,2830,6429,413,1245,4771,4129,1327,1260,1542,8647,5767,2131,749,48325,30463,73673,60014,26403,13659,53508,3720,25,1390,497,0,174,639,61,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.201848663,0.783335449,0,0,0.080030112,1,1,0.330669384
10,72,Beverly,21992,20034,20027,7691,2.597581589,19817,1267,3576,2888,3562,5022,2191,976,335,44.04398955,11126,1179,6562,194,756,19790,15712,10411,9792,619,5301,9662,686,8976,6254,437,1908,233,144,292725,272,2691,3305,1122,13958,342,1909,2465,1257,4298,3687,595,828,909,1032,1497,2529,110018.1598,55810.52955,7390,6232,1158,477,7867,6155,137,415,238,558,211,153,0,7.388352638,173,538,3540,3616,1942.360595,777,1121,3139,1894,936,329,2213,2814,827,330159.1658,1125,12,645,289,89,90,936.5771812,7193,180,197,7001,6888,389,10094,Education,Health Care,Public Administration,Professional,Accommodation and Food Service,1818,1352,1262,767,632,4004,Transportation,Professional,Accommodation and Food Service,Retail Trade,Health Care,758,716,477,405,361,Outside of Chicago,The Loop,Near West Side,Near North Side,Beverly,3718,3230,558,500,326,Outside of Chicago,Beverly,Auburn Gresham,Morgan Park,Roseland,2069,326,103,98,87,,,,14379.79173,,,,,,,,,,0,0,1,0,0.033229102,0.966770898,2.00313859,2038.093742,1044.08874,0.512286907,60.30855433,0.029590668,9.671452203,0.004745342,65.45139495,0.032114026,42.68778539,0.020944957,0,0,548.8853909,0.269313123,0,0,257.6114278,0.126398223,9.388996294,0.004606754,1920,2619,1172,1679,5148,205,2242,364,0,0,364,931,86,257,588,909,339,318,252,5031,3641,990,400,19082,735,18550,1366,114,17184,676,31,97,18,51,26,28,395,44,13814,643,7006,121,408,,,,,,,,,,,,,,,,,,,,,,,,,0.96185567,0.987568157,0.662129245,0.820519526,0,0,0.122599567,1,1,0.337818257
11,60,Bridgeport,33694,31977,33702,13339,2.523802384,32863.15574,1622.442623,4745.065574,8914.360656,6260.754098,6369.254098,3105.409836,1143.336066,702.5327869,37.4904653,11630.87705,6857.92623,735.4590164,13303.89344,335,32824.06847,27631.54515,18306.49717,17052.17194,1248.325225,9325.047984,16719.5918,854.5154948,15865.07631,7918.918694,2597.75075,3831.381539,1103.175275,413.85005,460356.7627,2574.636364,5957.477948,3339.558956,1021.311431,24356.43443,4664.942623,6331.008197,3484.352459,965.3032787,5704.819672,3206.008197,2745.624822,2566.630528,2402.50214,1716.988588,1904.453638,1555.955777,58670.10682,31668.72483,12892.15549,6309.664456,6583.464191,880.4864479,13773.65119,3933.872679,464.7612732,3864.041114,3402.612732,1172.801061,168,767.5623342,0,5.423974579,2181.65252,1901.867374,2026.030504,7664.100796,1934.929117,1955.462865,5288.464191,4653.5,1283.224138,593,488.78602,2049.159772,2687.592011,1049.496434,337406.972,6322.378031,97,2690.854494,2654.25107,839.764622,40.50784593,1066.264189,11775.73324,968.0370899,1116.422254,11606.07561,11328.07561,1286.079886,13960,Accommodation and Food Service,Health Care,Education,Professional,Retail Trade,2049,1652,1321,1211,1158,5190,Manufacturing,Retail Trade,Accommodation and Food Service,Finance,Wholesale Trade,1738,512,495,423,412,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,4130,2885,1202,1039,732,Outside of Chicago,Bridgeport,Brighton Park,New City,McKinley Park,2011,601,177,152,126,,,,11018.0211,,,,,,,,,,0,0,1,0,0,1,1.952610297,1338.189151,252.1736543,0.188443954,224.8158259,0.168000036,31.18601953,0.023304642,63.02930344,0.047100444,32.91951097,0.024600043,131.3629372,0.098164701,488.2384539,0.364850106,0,0,47.65808483,0.035613863,66.80536077,0.049922211,4177.912981,3882.393723,2344.924394,2486.924394,7234.510699,814.5934379,5657.644793,1945.879388,22,52,1871.879388,3021.70477,240.5949595,809,1972.109811,2352.609361,802.2034203,977.8649865,572.5409541,5117.682268,3855.0036,943.5022502,319.1764176,21405.52816,11457.95435,31240.83672,16767.55615,8681.509164,14473.28057,4229.03099,223.685105,10355.78474,157.5351549,148,215,437.895035,949.625125,51,13819,10165,354,8808,548,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.405510907,0.793971483,0.098209715,0,0.084343407,1,1,0.501616496
