"start_hr","Total_from","Total_to","Total_neither","Total_trips","P_from","P_to","P_n"
0,0,8,0,8,0,1,0
1,0,4,0,4,0,1,0
2,0,2,0,2,0,1,0
3,1,0,0,1,1,0,0
4,12,2,2,16,0.75,0.125,0.125
5,38,2,3,43,0.883720930232558,0.0465116279069767,0.0697674418604651
6,106,10,19,135,0.785185185185185,0.0740740740740741,0.140740740740741
7,223,31,45,299,0.745819397993311,0.103678929765886,0.150501672240803
8,164,32,86,282,0.581560283687943,0.113475177304965,0.304964539007092
9,137,42,98,277,0.494584837545126,0.151624548736462,0.353790613718412
10,120,66,145,331,0.362537764350453,0.199395770392749,0.438066465256798
11,97,109,181,387,0.250645994832041,0.281653746770026,0.467700258397933
12,79,97,144,320,0.246875,0.303125,0.45
13,66,88,121,275,0.24,0.32,0.44
14,69,111,119,299,0.230769230769231,0.37123745819398,0.397993311036789
15,71,181,131,383,0.185378590078329,0.472584856396867,0.342036553524804
16,94,163,86,343,0.274052478134111,0.475218658892128,0.250728862973761
17,84,155,87,326,0.257668711656442,0.475460122699386,0.266871165644172
18,81,140,70,291,0.278350515463918,0.481099656357388,0.240549828178694
19,22,74,50,146,0.150684931506849,0.506849315068493,0.342465753424658
20,17,91,13,121,0.140495867768595,0.752066115702479,0.107438016528926
21,8,63,11,82,0.0975609756097561,0.768292682926829,0.134146341463415
22,5,32,7,44,0.113636363636364,0.727272727272727,0.159090909090909
23,3,24,3,30,0.1,0.8,0.1
