start_hr,Total_from,Total_to,Total_neither,Total_trips,P_from,P_to,P_n
0,0,1,0,1,0,1,0
1,0,13,2,15,0,0.87,0.13
2,1,7,0,8,0.125,0.875,0
3,0,1,1,2,0,0.5,0.5
4,6,0,1,7,0.857142857,0,0.142857143
5,17,1,3,21,0.80952381,0.047619048,0.142857143
6,35,1,2,38,0.921052632,0.026315789,0.052631579
7,52,8,7,67,0.776119403,0.119402985,0.104477612
8,27,8,18,53,0.509433962,0.150943396,0.339622642
9,44,6,22,72,0.611111111,0.083333333,0.305555556
10,35,23,30,88,0.397727273,0.261363636,0.340909091
11,40,29,52,121,0.330578512,0.239669421,0.429752066
12,19,41,46,106,0.179245283,0.386792453,0.433962264
13,29,18,40,87,0.333333333,0.206896552,0.459770115
14,25,33,36,94,0.265957447,0.35106383,0.382978723
15,11,42,24,77,0.142857143,0.545454545,0.311688312
16,15,48,24,87,0.172413793,0.551724138,0.275862069
17,26,51,17,94,0.276595745,0.542553191,0.180851064
18,22,29,12,63,0.349206349,0.46031746,0.19047619
19,9,35,4,48,0.1875,0.729166667,0.083333333
20,6,25,3,34,0.176470588,0.735294118,0.088235294
21,3,16,5,24,0.125,0.666666667,0.208333333
22,3,12,2,17,0.176470588,0.705882353,0.117647059
23,1,4,2,7,0.142857143,0.571428571,0.285714286
